iteration_no,link_id,from_node_id,to_node_id,volume,ref_volume,base_volume,obs_volume,capacity,D,doc,fftt,travel_time,VDF_alpha,VDF_beta,VDF_plf,speed,VMT,VHT,PMT,PHT,VHT_QVDF,PHT_QVDF,geometry,mod_vol_auto,P,t0,t2,t3,vt2,mu,Q_gamma,free_speed,cutoff_speed,congestion_ref_speed,avg_queue_speed,avg_QVDF_period_speed,avg_QVDF_period_travel_time,Severe_Congestion_P,spd_07:00,spd_07:05,spd_07:10,spd_07:15,spd_07:20,spd_07:25,spd_07:30,spd_07:35,spd_07:40,spd_07:45,spd_07:50,spd_07:55,
20,1,1,547,4989.1300,4989.1300,0.0000,-1.0000,49500.0000,4989.1300,0.1008,0.0000,0.0000,0.1500,4.0000,1.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-87.67559107263199 42.01165237596879, -87.66368557298236 42.020654602195)",4989.130000,0.100791,7.449605,7.500000,7.550395,44.998694,49500.000000,0.000000,60.000000,45.000000,58.488142,58.487237,59.167790,0.000000,0.000000,60.000,59.720,59.440,59.159,58.879,58.599,-nan(ind),58.599,58.879,59.159,59.440,59.720,
20,2,2,548,6719.4100,6719.4100,0.0000,-1.0000,49500.0000,6719.4100,0.1357,0.0000,0.0000,0.1500,4.0000,1.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-87.69940207193123 42.00355037236519, -87.6874965722816 42.012552598591405)",6719.410000,0.135746,7.432127,7.500000,7.567873,44.995703,49500.000000,0.000000,60.000000,45.000000,57.963815,57.960863,58.843305,0.000000,0.000000,60.000,59.607,59.215,58.822,58.429,58.037,-nan(ind),58.037,58.429,58.822,59.215,59.607,
20,3,3,549,10095.5300,10095.5300,0.0000,-1.0000,49500.0000,10095.5300,0.2040,0.0000,0.0000,0.1500,4.0000,1.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-87.66487612294732 41.97744391630916, -87.65297062329769 41.98644614253538)",10095.530000,0.203950,7.398025,7.500000,7.601975,44.978113,49500.000000,0.000000,60.000000,45.000000,56.940748,56.925975,58.155394,0.000000,0.000000,60.000,59.359,58.719,58.078,57.438,-nan(ind),-nan(ind),-nan(ind),57.438,58.078,58.719,59.359,
20,4,4,550,9444.6200,9444.6200,0.0000,-1.0000,49500.0000,9444.6200,0.1908,0.0000,0.0000,0.1500,4.0000,1.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-87.68987767221154 41.96394057696984, -87.67797217256191 41.972942803196055)",9444.620000,0.190800,7.404600,7.500000,7.595400,44.983233,49500.000000,0.000000,60.000000,45.000000,57.137994,57.126637,58.293794,0.000000,0.000000,60.000,59.411,58.821,58.232,57.642,-nan(ind),-nan(ind),-nan(ind),57.642,58.232,58.821,59.411,
20,5,5,551,17223.8200,17223.8200,0.0000,-1.0000,49500.0000,17223.8200,0.3480,0.0000,0.0000,0.1500,4.0000,1.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-87.65297062329769 41.93243278517809, -87.64106512364806 41.9414350114043)",17223.820000,0.347956,7.326022,7.500000,7.673978,44.815237,49500.000000,0.000000,60.000000,45.000000,54.780661,54.660472,56.440460,0.000000,0.000000,60.000,58.666,57.332,55.998,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),55.998,57.332,58.666,
20,6,6,552,6446.0300,6446.0300,0.0000,-1.0000,49500.0000,6446.0300,0.1302,0.0000,0.0000,0.1500,4.0000,1.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-87.74345242063487 41.99004703302587, -87.73154692098524 41.99904925925208)",6446.030000,0.130223,7.434889,7.500000,7.565111,44.996361,49500.000000,0.000000,60.000000,45.000000,58.046658,58.044154,58.895818,0.000000,0.000000,60.000,59.626,59.251,58.877,58.503,58.129,-nan(ind),58.129,58.503,58.877,59.251,59.626,
20,7,7,553,9884.2800,9884.2800,0.0000,-1.0000,49500.0000,9884.2800,0.1997,0.0000,0.0000,0.1500,4.0000,1.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-87.72559417116042 41.96033968647936, -87.7136886715108 41.96934191270557)",9884.280000,0.199682,7.400159,7.500000,7.599841,44.979887,49500.000000,0.000000,60.000000,45.000000,57.004764,56.991172,58.200620,0.000000,0.000000,60.000,59.376,58.752,58.129,57.505,-nan(ind),-nan(ind),-nan(ind),57.505,58.129,58.752,59.376,
20,8,8,554,9252.3000,9252.3000,0.0000,-1.0000,49500.0000,9252.3000,0.1869,0.0000,0.0000,0.1500,4.0000,1.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-87.79940826898812 41.987346365158004, -87.78750276933849 41.99634859138422)",9252.300000,0.186915,7.406542,7.500000,7.593458,44.984557,49500.000000,0.000000,60.000000,45.000000,57.196273,57.185802,58.334150,0.000000,0.000000,60.000,59.425,58.851,58.276,57.701,-nan(ind),-nan(ind),-nan(ind),57.701,58.276,58.851,59.425,
20,9,9,555,6699.4500,6699.4500,0.0000,-1.0000,49500.0000,6699.4500,0.1353,0.0000,0.0000,0.1500,4.0000,1.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-87.8220287183224 41.94863679238527, -87.81012321867277 41.95763901861149)",6699.450000,0.135342,7.432329,7.500000,7.567671,44.995754,49500.000000,0.000000,60.000000,45.000000,57.969864,57.966946,58.847155,0.000000,0.000000,60.000,59.609,59.217,58.826,58.435,58.043,-nan(ind),58.043,58.435,58.826,59.217,59.609,
20,10,10,556,13823.6500,13823.6500,0.0000,-1.0000,49500.0000,13823.6500,0.2793,0.0000,0.0000,0.1500,4.0000,1.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-87.76369177003923 41.93873434353644, -87.7517862703896 41.947736569762654)",13823.650000,0.279266,7.360367,7.500000,7.639633,44.923152,49500.000000,0.000000,60.000000,45.000000,55.811015,55.760142,57.306381,0.000000,0.000000,60.000,59.031,58.063,57.094,56.125,-nan(ind),-nan(ind),-nan(ind),56.125,57.094,58.063,59.031,
