link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,toll,link_type,allowed_uses,VDF_alpha,VDF_beta,VDF_plf,ref_volume,ref_cost,VDF_fftt,geometry
1,1,547,1,0,1,49500.0,60,0.0,3.0,,0.15,4.0,1,4989.129999999946,13.119813223180225,0.0,"LINESTRING (-87.67559107263199 42.01165237596879, -87.66368557298236 42.020654602195)"
2,2,548,1,0,1,49500.0,60,0.0,3.0,,0.15,4.0,1,6719.409999999938,13.119813223180225,0.0,"LINESTRING (-87.69940207193123 42.00355037236519, -87.6874965722816 42.012552598591405)"
3,3,549,1,0,1,49500.0,60,0.0,3.0,,0.15,4.0,1,10095.529999999992,13.119813223180225,0.0,"LINESTRING (-87.66487612294732 41.97744391630916, -87.65297062329769 41.98644614253538)"
4,4,550,1,0,1,49500.0,60,0.0,3.0,,0.15,4.0,1,9444.619999999995,13.119813223180225,0.0,"LINESTRING (-87.68987767221154 41.96394057696984, -87.67797217256191 41.972942803196055)"
5,5,551,1,0,1,49500.0,60,0.0,3.0,,0.15,4.0,1,17223.82000000002,13.119813223180225,0.0,"LINESTRING (-87.65297062329769 41.93243278517809, -87.64106512364806 41.9414350114043)"
6,6,552,1,0,1,49500.0,60,0.0,3.0,,0.15,4.0,1,6446.029999999999,13.119813223180225,0.0,"LINESTRING (-87.74345242063487 41.99004703302587, -87.73154692098524 41.99904925925208)"
7,7,553,1,0,1,49500.0,60,0.0,3.0,,0.15,4.0,1,9884.280000000035,13.119813223180225,0.0,"LINESTRING (-87.72559417116042 41.96033968647936, -87.7136886715108 41.96934191270557)"
8,8,554,1,0,1,49500.0,60,0.0,3.0,,0.15,4.0,1,9252.299999999996,13.119813223180225,0.0,"LINESTRING (-87.79940826898812 41.987346365158004, -87.78750276933849 41.99634859138422)"
9,9,555,1,0,1,49500.0,60,0.0,3.0,,0.15,4.0,1,6699.44999999999,13.119813223180225,0.0,"LINESTRING (-87.8220287183224 41.94863679238527, -87.81012321867277 41.95763901861149)"
10,10,556,1,0,1,49500.0,60,0.0,3.0,,0.15,4.0,1,13823.650000000016,13.119813223180225,0.0,"LINESTRING (-87.76369177003923 41.93873434353644, -87.7517862703896 41.947736569762654)"
11,11,557,1,0,1,49500.0,60,0.0,3.0,,0.15,4.0,1,10551.060000000027,13.119813223180225,0.0,"LINESTRING (-87.7613106701093 41.896423880273225, -87.74940517045968 41.90542610649944)"
